starttime,stoptime,start station id,end station id
9/1/15 1:05,9/1/15 1:14,3224,335
9/1/15 1:06,9/1/15 1:15,526,450
9/1/15 1:06,9/1/15 1:21,528,3158
9/1/15 1:06,9/1/15 1:41,476,3090
9/1/15 1:06,9/1/15 1:07,316,376
9/1/15 1:06,9/1/15 1:09,497,168
9/1/15 1:06,9/1/15 1:18,300,518
9/1/15 1:06,9/1/15 1:18,405,309
9/1/15 1:07,9/1/15 1:21,346,325
9/1/15 1:07,9/1/15 1:16,537,300
9/1/15 1:08,9/1/15 1:16,331,279
9/1/15 1:09,9/1/15 1:16,382,432
9/1/15 1:09,9/1/15 1:16,504,511
9/1/15 1:09,9/1/15 1:24,137,507
9/1/15 1:09,9/1/15 1:15,486,379
9/1/15 1:11,9/1/15 1:20,393,483
9/1/15 1:12,9/1/15 1:22,334,529
9/1/15 1:13,9/1/15 1:21,468,515
9/1/15 1:13,9/1/15 1:22,521,212
9/1/15 1:13,9/1/15 1:19,478,388
9/1/15 1:14,9/1/15 1:17,345,369
9/1/15 1:14,9/1/15 1:30,3087,410
9/1/15 1:15,9/1/15 1:27,173,2022
9/1/15 1:15,9/1/15 1:27,173,2022
9/1/15 1:15,9/1/15 1:19,334,509
9/1/15 1:15,9/1/15 1:22,382,433
9/1/15 1:16,9/1/15 1:24,481,3110
9/1/15 1:16,9/1/15 1:22,242,390
9/1/15 1:16,9/1/15 1:24,481,3110
9/1/15 1:16,9/1/15 1:29,252,531
9/1/15 1:16,9/1/15 1:31,168,519
9/1/15 1:16,9/1/15 1:38,325,252
9/1/15 1:17,9/1/15 1:38,325,252
9/1/15 1:17,9/1/15 1:29,293,462
9/1/15 1:17,9/1/15 1:23,367,160
9/1/15 1:17,9/1/15 1:20,391,216
9/1/15 1:18,9/1/15 1:26,326,161
9/1/15 1:18,9/1/15 1:38,325,252
9/1/15 1:19,9/1/15 1:23,326,428
9/1/15 1:19,9/1/15 1:42,225,480
9/1/15 1:19,9/1/15 1:24,3105,3112
9/1/15 1:20,9/1/15 1:24,127,284
9/1/15 1:20,9/1/15 1:34,357,161
9/1/15 1:20,9/1/15 1:37,528,356
9/1/15 1:20,9/1/15 1:25,472,536
9/1/15 1:20,9/1/15 1:35,488,305
9/1/15 1:20,9/1/15 1:41,326,334
9/1/15 1:20,9/1/15 1:31,380,488
9/1/15 1:22,9/1/15 1:38,465,522
9/1/15 1:22,9/1/15 1:38,465,522
9/1/15 1:23,9/1/15 1:52,380,312
9/1/15 1:23,9/1/15 1:53,380,312
9/1/15 1:23,9/1/15 1:30,521,458
9/1/15 1:24,9/1/15 1:30,473,445
9/1/15 1:25,9/1/15 1:28,3086,3087
9/1/15 1:26,9/1/15 1:29,325,2003
9/1/15 1:26,9/1/15 1:29,161,348
9/1/15 1:26,9/1/15 1:41,284,518
9/1/15 1:27,9/1/15 1:35,3101,3117
9/1/15 1:27,9/1/15 1:39,3074,282
